! [  1] WCX=-8.635627e-03
!! [  1] WCX=-5.449320e+00
!!! [  1] WCX=-5.449320e+00
" [  1] WIQ=-3.650989e-01
13.00 [  1] MCSX=-8.981996e+00
13.05 [  1] MCSX=-8.981996e+00
13.15 [  1] MCSX=-9.675143e+00
13.18 [  1] MCSX=-9.675143e+00
13.30 [  1] MCSX=-9.675143e+00
13.34 [  1] MCSX=-9.675143e+00
13.35 [  1] MCSX=-8.981996e+00
13.38 [  1] MCSX=-9.675143e+00
13.40 [  1] MCSX=-9.675143e+00
13.45 [  1] MCSX=-8.981996e+00
13.50 [  1] MCSX=-9.675143e+00
13.55 [  1] MCSX=-9.675143e+00
130 [  1] MCSX=-7.372558e+00
130-1 [  1] MCSX=-9.675143e+00
130-1. [  1] MOSX=-8.375860e+00
130. [  1] MOSX=-6.766422e+00
1300 [  1] MCSX=-8.981996e+00
13000 [  1] MCSX=-8.065705e+00
130000 [  1] MCSX=-8.981996e+00
131 [  1] MCSX=-9.675143e+00
131. [  1] MOSX=-6.989566e+00
1311 [  1] MCSX=-8.981996e+00
1315 [  1] MCSX=-8.981996e+00
1315. [  1] MOSX=-8.375860e+00
1316-1317 [  1] MCSX=-9.675143e+00
132 [  1] MCSX=-9.675143e+00
132. [  1] MOSX=-6.989566e+00
132.6 [  1] MCSX=-9.675143e+00
1326 [  1] MCSX=-8.981996e+00
133 [  1] MCSX=-8.576530e+00
133-152 [  1] MCSX=-9.675143e+00
133. [  1] MOSX=-6.989566e+00
1331 [  1] MCSX=-9.675143e+00
1335 [  1] MCSX=-9.675143e+00
134 [  1] MCSX=-8.288849e+00
134. [  1] MOSX=-6.989566e+00
1341 [  1] MCSX=-9.675143e+00
1344 [  1] MCSX=-8.288849e+00
1345 [  1] MCSX=-8.981996e+00
1347-1351 [  1] MCSX=-9.675143e+00
1347. [  1] MOSX=-7.682713e+00
135 [  1] MCSX=-8.576530e+00
135. [  1] MOSX=-6.989566e+00
1351. [  1] MOSX=-8.375860e+00
136 [  1] MCSX=-8.065705e+00
136-144 [  1] MCSX=-9.675143e+00
136. [  1] MOSX=-6.989566e+00
1361 [  1] MCSX=-7.477919e+00
1361-1363 [  1] MCSX=-9.675143e+00
1362 [  1] MCSX=-8.981996e+00
1365 [  1] MCSX=-8.981996e+00
1366 [  1] MCSX=-9.675143e+00
1369-1371 [  1] MCSX=-9.675143e+00
137 [  1] MCSX=-8.576530e+00
137. [  1] MOSX=-6.989566e+00
1374-1375 [  1] MCSX=-9.675143e+00
138 [  1] MCSX=-8.576530e+00
138. [  1] MOSX=-6.989566e+00
1382 [  1] MCSX=-9.675143e+00
1385 [  1] MCSX=-9.675143e+00
139 [  1] MCSX=-8.576530e+00
139. [  1] MOSX=-6.989566e+00
1390 [  1] MCSX=-9.675143e+00
1392 [  1] MCSX=-9.675143e+00
1399. [  1] MOSX=-8.375860e+00
13a [  1] YSX=-7.893199e+00
13aastane [  1] ASN=-9.564583e+00
13korruselises [  1] ASA=-8.591929e+00
14 [  1] MCSX=-5.783323e+00
14% [  1] MCSX=-9.675143e+00
14,1% [  1] MCSX=-9.675143e+00
14,5 [  1] MCSX=-9.675143e+00
14,53 [  1] MCSX=-9.675143e+00
14-1 [  1] MCSX=-8.288849e+00
14-15-aastasel [  1] ASA=-8.591929e+00
14-19 [  1] MCSX=-9.675143e+00
14-2 [  1] MCSX=-9.675143e+00
14-4 [  1] MCSX=-9.675143e+00
14-aastane [  1] ASN=-9.564583e+00
14-ni [  1] MCS=-4.700480e+00
14. [  1] MOSX=-4.686981e+00
14.-15. [  1] MOSX=-8.375860e+00
14.-17. [  1] MOSX=-8.375860e+00
14.-18. [  1] MOSX=-8.375860e+00
14.00 [  1] MCSX=-8.981996e+00
14.01.1999 [  1] MCSX=-9.675143e+00
14.05 [  1] MCSX=-9.675143e+00
14.06.2000 [  1] MCSX=-7.372558e+00
14.10 [  1] MCSX=-9.675143e+00
14.10.99 [  1] MCSX=-7.477919e+00
14.11.2001 [  1] MCSX=-5.470450e+00
14.11.99 [  1] MCSX=-7.477919e+00
14.15 [  1] MCSX=-9.675143e+00
14.25 [  1] MCSX=-9.675143e+00
14.30 [  1] MCSX=-9.675143e+00
14.35 [  1] MCSX=-9.675143e+00
14.40 [  1] MCSX=-9.675143e+00
14.45 [  1] MCSX=-9.675143e+00
140 [  1] MCSX=-8.065705e+00
140. [  1] MOSX=-6.989566e+00
1400 [  1] MCSX=-9.675143e+00
1400. [  1] MOSX=-8.375860e+00
14000 [  1] MCSX=-8.981996e+00
14000-kroonine [  1] ASN=-9.564583e+00
140000 [  1] MCSX=-8.981996e+00
